sample_id,ref
Ecoli_Std_A04,Ecoli_SAMN07731009_gcf
Ecoli_Std_B04,Ecoli_SAMN07731009_gcf
Ecoli_Std_C04,Ecoli_SAMN07731009_gcf
Ecoli_Std_D04,Ecoli_SAMN07731009_gcf
Ecoli_Std_E04,Ecoli_SAMN07731009_gcf
Ecoli_Std_F04,Ecoli_SAMN07731009_gcf
Ecoli_Std_G04,Ecoli_SAMN07731009_gcf
Ecoli_Std_H04,Ecoli_SAMN07731009_gcf
Ecoli_HS_A07,Ecoli_SAMN07731009_gcf
Ecoli_HS_B07,Ecoli_SAMN07731009_gcf
Ecoli_HS_C07,Ecoli_SAMN07731009_gcf
Ecoli_HS_D07,Ecoli_SAMN07731009_gcf
Ecoli_HS_E07,Ecoli_SAMN07731009_gcf
Ecoli_HS_F07,Ecoli_SAMN07731009_gcf
Ecoli_HS_G07,Ecoli_SAMN07731009_gcf
Ecoli_HS_H07,Ecoli_SAMN07731009_gcf
